Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=122.666667 | time_average=1.862752s
e1_easy: reward_average=115.300000 | time_average=7.151726s
e2_easy: reward_average=96.733333 | time_average=2.176289s
e3_easy: reward_average=94.733333 | time_average=2.878162s
e4_easy: reward_average=141.666667 | time_average=8.504739s
e5_easy: reward_average=105.633333 | time_average=3.910981s
m1_easy: reward_average=80.066667 | time_average=0.036316s
m2_easy: reward_average=77.200000 | time_average=0.110042s
m3_easy: reward_average=83.933333 | time_average=0.305539s
m4_easy: reward_average=107.000000 | time_average=0.266815s
m5_easy: reward_average=92.666667 | time_average=0.023944s
rl_easy: reward_average=471.900000 | time_average=0.029952s
p1_med: reward_average=111.933333 | time_average=1.801491s
e1_med: reward_average=110.200000 | time_average=6.762134s
e2_med: reward_average=96.333333 | time_average=2.211448s
e3_med: reward_average=100.233333 | time_average=3.335490s
e4_med: reward_average=131.666667 | time_average=8.290846s
e5_med: reward_average=94.900000 | time_average=3.953325s
m1_med: reward_average=120.633333 | time_average=0.039575s
m2_med: reward_average=114.500000 | time_average=0.120456s
m3_med: reward_average=119.900000 | time_average=0.353238s
m4_med: reward_average=105.400000 | time_average=0.115763s
m5_med: reward_average=128.700000 | time_average=0.029728s
rl_med: reward_average=458.533333 | time_average=0.030233s
p1_hard: reward_average=120.833333 | time_average=2.735202s
e1_hard: reward_average=111.433333 | time_average=7.502854s
e2_hard: reward_average=73.600000 | time_average=2.312476s
e3_hard: reward_average=119.333333 | time_average=5.258077s
e4_hard: reward_average=136.533333 | time_average=8.285315s
e5_hard: reward_average=101.800000 | time_average=5.282627s
m1_hard: reward_average=107.133333 | time_average=0.061896s
m2_hard: reward_average=115.266667 | time_average=0.124125s
m3_hard: reward_average=116.700000 | time_average=0.442411s
m4_hard: reward_average=167.066667 | time_average=0.043409s
m5_hard: reward_average=94.633333 | time_average=0.042201s
rl_hard: reward_average=458.566667 | time_average=0.029923s
Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=122.666667 | time_average=1.099410s
e1_easy: reward_average=115.100000 | time_average=7.387677s
e2_easy: reward_average=96.733333 | time_average=1.283526s
e3_easy: reward_average=94.733333 | time_average=1.706621s
e4_easy: reward_average=142.000000 | time_average=8.338796s
e5_easy: reward_average=105.633333 | time_average=2.253733s
m1_easy: reward_average=78.400000 | time_average=0.021062s
m2_easy: reward_average=75.366667 | time_average=0.058402s
m3_easy: reward_average=73.466667 | time_average=0.179344s
Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=122.666667 | time_average=1.072602s
Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=122.666667 | time_average=1.124705s
e1_easy: reward_average=115.300000 | time_average=7.399736s
e2_easy: reward_average=96.733333 | time_average=2.187902s
e3_easy: reward_average=94.733333 | time_average=2.870789s
e1_easy: reward_average=115.433333 | time_average=7.246508s
e2_easy: reward_average=96.733333 | time_average=2.187412s
e3_easy: reward_average=94.733333 | time_average=2.954444s
e4_easy: reward_average=141.666667 | time_average=8.492435s
e5_easy: reward_average=105.633333 | time_average=4.120051s
m1_easy: reward_average=78.400000 | time_average=0.043202s
m2_easy: reward_average=75.366667 | time_average=0.097429s
m3_easy: reward_average=73.466667 | time_average=0.327802s
e4_easy: reward_average=141.666667 | time_average=8.451221s
e5_easy: reward_average=105.633333 | time_average=3.867488s
m1_easy: reward_average=78.400000 | time_average=0.036327s
m2_easy: reward_average=75.366667 | time_average=0.096293s
m3_easy: reward_average=73.466667 | time_average=0.307317s
m4_easy: reward_average=109.000000 | time_average=5.667011s
m5_easy: reward_average=91.200000 | time_average=0.024799s
rl_easy: reward_average=471.900000 | time_average=0.029394s
p1_med: reward_average=111.933333 | time_average=1.837527s
m4_easy: reward_average=109.000000 | time_average=5.738285s
m5_easy: reward_average=91.200000 | time_average=0.025119s
rl_easy: reward_average=471.900000 | time_average=0.029809s
p1_med: reward_average=111.933333 | time_average=1.792635s
e1_med: reward_average=110.200000 | time_average=6.763741s
e2_med: reward_average=96.333333 | time_average=2.232245s
e1_med: reward_average=110.066667 | time_average=6.931990s
e3_med: reward_average=100.233333 | time_average=3.410076s
e2_med: reward_average=96.266667 | time_average=2.291311s
e3_med: reward_average=100.233333 | time_average=3.271851s
e4_med: reward_average=131.600000 | time_average=8.331149s
e5_med: reward_average=94.900000 | time_average=3.952541s
m1_med: reward_average=124.700000 | time_average=0.038489s
m2_med: reward_average=112.233333 | time_average=0.114986s
m3_med: reward_average=106.600000 | time_average=0.321995s
m4_med: reward_average=105.933333 | time_average=0.008156s
m5_med: reward_average=134.200000 | time_average=0.025068s
rl_med: reward_average=458.533333 | time_average=0.029930s
e4_med: reward_average=130.600000 | time_average=8.283978s
p1_hard: reward_average=120.833333 | time_average=2.567356s
e5_med: reward_average=94.900000 | time_average=3.953023s
m1_med: reward_average=124.700000 | time_average=0.038833s
m2_med: reward_average=112.233333 | time_average=0.114980s
m3_med: reward_average=106.600000 | time_average=0.327795s
m4_med: reward_average=105.933333 | time_average=0.008222s
m5_med: reward_average=134.200000 | time_average=0.025017s
rl_med: reward_average=458.533333 | time_average=0.031146s
p1_hard: reward_average=120.833333 | time_average=2.536154s
e1_hard: reward_average=111.466667 | time_average=7.252269s
e2_hard: reward_average=73.600000 | time_average=1.369165s
e3_hard: reward_average=119.333333 | time_average=3.304855s
e1_hard: reward_average=111.600000 | time_average=7.806240s
e2_hard: reward_average=73.600000 | time_average=1.835718s
e3_hard: reward_average=119.333333 | time_average=3.987138s
e4_hard: reward_average=136.533333 | time_average=7.472649s
